beach_name,date,culture_sample_1_timestamp,culture_sample_1_reading,culture_sample_2_timestamp,culture_sample_2_reading,culture_reading_mean,culture_sample_interval,culture_note,dna_sample_timestamp,dna_sample_1_reading,dna_sample_2_reading,dna_reading_mean,dna_test_id,latitude,longitude,year
12th Street,2016-08-20,,,,,,,,2016-08-20 12:40:00,236.0,147.0,186.3,2009,41.8638,-87.6083,2016
Rainbow,2016-06-26,,,,,,,,2016-06-26 12:38:00,86.0,5.0,20.7,983,41.758,-87.551,2016
North Avenue,2016-06-05,,,,,,,,2016-06-05 12:45:00,63.0,114.0,84.7,610,41.9148,-87.6273,2016
63rd Street,2016-08-20,,,,,,,,2016-08-20 12:39:00,21.0,41.0,29.3,1989,41.7827,-87.5748,2016
North Avenue,2016-06-11,,,,,,,,2016-06-11 13:18:00,145.0,112.0,127.4,703,41.9148,-87.6273,2016
Rainbow,2016-07-02,,,,,,,,2016-07-02 13:05:00,18.0,39.0,26.5,1070,41.758,-87.551,2016
Calumet,2016-07-03,,,,,,,,2016-07-03 12:13:00,18.0,31.0,23.6,1030,41.7142,-87.5299,2016
Osterman,2017-05-26,,,,,,,,2017-05-26 12:32:00,26.0,54.0,37.5,2295,41.9877,-87.6545,2017
57th Street,2017-05-28,,,,,,,,2017-05-28 00:00:00,127.0,190.0,155.3,2347,41.7911,-87.5797,2017
12th Street,2017-05-26,,,,,,,,2017-05-26 12:29:00,67.0,756.0,225.1,2289,41.8638,-87.6083,2017
Osterman,2017-05-29,,,,,,,,2017-05-29 12:17:00,7.0,38.0,16.3,2343,41.9877,-87.6545,2017
Margaret T Burroughs (31st),2017-05-28,,,,,,,,2017-05-28 00:00:00,101.0,46.0,68.2,2330,41.8393,-87.6072,2017
Ohio Street,2016-07-17,,,,,,,,2016-07-17 14:27:00,36.0,4.0,12.0,1236,41.8935,-87.6152,2016
Calumet,2016-08-07,,,,,,,,2016-08-07 12:57:00,47.0,9.0,20.6,1629,41.7142,-87.5299,2016
57th Street,2017-05-27,,,,,,,,2017-05-27 00:00:00,78.0,51.0,63.1,2313,41.7911,-87.5797,2017
North Avenue,2016-08-28,,,,,,,,2016-08-28 12:28:00,66.0,65.0,65.5,2146,41.9148,-87.6273,2016
Rainbow,2016-08-07,,,,,,,,2016-08-07 12:58:00,215.0,86.0,136.0,1631,41.758,-87.551,2016
South Shore,2016-06-05,,,,,,,,2016-06-05 00:00:00,118.0,1.0,118.0,593,41.7689,-87.5636,2016
Leone,2017-05-28,,,,,,,,2017-05-28 00:00:00,3.0,10.0,5.5,2352,42.0131,-87.6635,2017
Calumet,2016-08-21,,,,,,,,2016-08-21 12:44:00,468.0,355.0,407.6,1990,41.7142,-87.5299,2016
Ohio Street,2016-08-25,,,,,,,,2016-08-25 13:01:00,39.0,23.0,29.9,2087,41.8935,-87.6152,2016
Ohio Street,2016-07-02,,,,,,,,2016-07-02 13:05:00,135.0,66.0,94.4,1069,41.8935,-87.6152,2016
Rainbow,2016-07-30,,,,,,,,2016-07-30 13:01:00,68.0,783.0,230.7,1567,41.758,-87.551,2016
63rd Street,2016-08-27,,,,,,,,2016-08-27 13:02:00,867.0,183.0,398.3,2114,41.7827,-87.5748,2016
Ohio Street,2016-09-04,,,,,,,,2016-09-04 12:35:00,49.0,36.0,42.0,2269,41.8935,-87.6152,2016
Humboldt,2017-05-27,,,,,,,,2017-05-27 00:00:00,2602.0,1531.0,1995.9,2315,41.90643,-87.703717,2017
South Shore,2016-07-31,,,,,,,,2016-07-31 12:19:00,73.0,97.0,84.1,1553,41.7689,-87.5636,2016
63rd Street,2016-06-19,,,,,,,,2016-06-19 12:30:00,246.0,369.0,301.3,849,41.7827,-87.5748,2016
Rainbow,2016-07-24,,,,,,,,2016-07-24 12:29:00,39.0,5.0,14.0,1408,41.758,-87.551,2016
Ohio Street,2016-07-16,,,,,,,,2016-07-16 12:20:00,34.0,31.0,32.5,1232,41.8935,-87.6152,2016
Montrose,2017-05-27,,,,,,,,2017-05-27 00:00:00,180.0,139.0,158.2,2316,41.9655,-87.6385,2017
63rd Street,2016-07-31,,,,,,,,2016-07-31 12:19:00,16.0,36.0,24.0,1572,41.7827,-87.5748,2016
South Shore,2016-07-10,,,,,,,,2016-07-10 13:19:00,66.0,34.0,47.4,1183,41.7689,-87.5636,2016
Margaret T Burroughs (31st),2017-05-29,,,,,,,,2017-05-29 12:17:00,76.0,219.0,129.0,2339,41.8393,-87.6072,2017
63rd Street,2016-09-04,,,,,,,,2016-09-04 12:36:00,41.0,13.0,23.1,2272,41.7827,-87.5748,2016
Foster,2016-07-24,,,,,,,,2016-07-24 15:46:00,62.0,8059.0,706.9,1411,41.9785,-87.6515,2016
South Shore,2017-05-30,,,,,,,,2017-05-30 00:00:00,403.0,74.0,172.7,2367,41.7689,-87.5636,2017
Marion Mahony Griffin (Jarvis),2017-05-31,,,,,,,,2017-05-31 00:00:00,32.0,8.0,16.0,2420,42.0161,-87.6647,2017
12th Street,2016-07-23,,,,,,,,2016-07-23 12:25:00,280.0,361.0,317.9,1405,41.8638,-87.6083,2016
Ohio Street,2016-08-06,,,,,,,,2016-08-06 12:41:00,98.0,34.0,57.7,1524,41.8935,-87.6152,2016
South Shore,2017-05-28,,,,,,,,2017-05-28 00:00:00,232.0,635.0,383.8,2328,41.7689,-87.5636,2017
Montrose,2016-08-27,,,,,,,,2016-08-27 13:00:00,4794.0,13570.0,8065.6,2126,41.9655,-87.6385,2016
South Shore,2016-08-27,,,,,,,,2016-08-27 13:02:00,85.0,41.0,59.0,2128,41.7689,-87.5636,2016
Humboldt,2017-05-28,,,,,,,,2017-05-28 00:00:00,2874.0,2468.0,2663.3,2349,41.90643,-87.703717,2017
North Avenue,2016-07-10,,,,,,,,2016-07-10 13:18:00,176.0,89.0,125.2,1182,41.9148,-87.6273,2016
Humboldt,2017-05-31,,,,,,,,2017-05-31 00:00:00,1085.0,1497.0,1274.5,2392,41.90643,-87.703717,2017
Osterman,2017-05-31,,,,,,,,2017-05-31 00:00:00,7.0,282.0,44.4,2393,41.9877,-87.6545,2017
Rogers,2017-05-27,,,,,,,,2017-05-27 00:00:00,67.0,70.0,68.5,2326,42.0213,-87.6666,2017
North Avenue,2016-06-04,,,,,,,,2016-06-04 12:57:00,3.0,3.0,3.0,587,41.9148,-87.6273,2016
Rainbow,2016-07-31,,,,,,,,2016-07-31 12:18:00,111.0,308.0,184.9,1571,41.758,-87.551,2016
Ohio Street,2017-05-26,,,,,,,,2017-05-26 12:30:00,25.0,592.0,121.7,2290,41.8935,-87.6152,2017
63rd Street,2016-07-24,,,,,,,,2016-07-24 12:29:00,60.0,99.0,77.1,1409,41.7827,-87.5748,2016
