DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Culture Test ID,Culture Sample 1 Timestamp,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,Latitude,Longitude,Location
,,NA,,,,107973,08/15/2013 12:00:00 AM,231.0,248.0,239.3,,,,,,
,,Margaret T Burroughs,,,,105636,07/03/2013 12:00:00 AM,88.0,60.0,72.7,,,,,,
,,Hartigan,,,,88188,06/02/2010 12:00:00 AM,75.9,62.7,69.0,,,,,,
,,Margaret T Burroughs,,,,103922,05/29/2007 12:00:00 AM,35.5,60.2,46.2,,,,,,
,,Margaret T Burroughs,,,,105658,08/23/2012 12:00:00 AM,4.1,13.2,7.4,,,,,,
,,Marion Mahony Griffin,,,,94932,08/13/2015 12:00:00 AM,10.0,5.0,7.1,,,,,,
,,Margaret T Burroughs,,,,96752,07/24/2011 12:00:00 AM,44.1,38.9,41.4,,,,,,
,,Marion Mahony Griffin,,,,100967,08/17/2007 12:00:00 AM,66.3,50.4,57.8,,,,,,
,,Hartigan,,,,108467,09/04/2015 12:00:00 AM,9.0,13.0,10.8,,,,,,
,,Margaret T Burroughs,,,,108589,07/05/2012 12:00:00 AM,6.3,4.1,5.1,,,,,,
,,Hartigan,,,,98349,08/17/2006 12:00:00 AM,45.7,31.5,37.9,,,,,,
,,Hartigan,,,,88676,08/05/2010 12:00:00 AM,6.3,21.8,11.7,,,,,,
,,Marion Mahony Griffin,,,,90884,09/03/2010 12:00:00 AM,30.5,32.8,31.6,,,,,,
,,Marion Mahony Griffin,,,,108778,07/18/2012 12:00:00 AM,290.9,325.5,307.7,,,,,,
,,Columbia,,,,98451,06/19/2007 12:00:00 AM,12.2,10.9,11.5,,,,,,
,,Marion Mahony Griffin,,,,103938,07/03/2007 12:00:00 AM,13.2,10.9,12.0,,,,,,
,,NA,,,,93598,08/27/2014 12:00:00 AM,12.0,4.0,6.9,,,,,,
,,Margaret T Burroughs,,,,96048,08/02/2011 12:00:00 AM,23.1,78.9,42.7,,,,,,
,,Hartigan,,,,98805,07/24/2007 12:00:00 AM,55.7,37.3,45.6,,,,,,
,,Marion Mahony Griffin,,,,101985,07/01/2008 12:00:00 AM,16.0,12.1,13.9,,,,,,
,,Hartigan,,,,108782,05/31/2013 12:00:00 AM,10.0,6.0,7.7,,,,,,
,,Margaret T Burroughs,,,,97072,07/25/2012 12:00:00 AM,20.1,23.3,21.6,,,,,,
,,Hartigan,,,,104622,06/16/2006 12:00:00 AM,28.5,18.9,23.2,,,,,,
,,Hartigan,,,,98223,07/18/2006 12:00:00 AM,178.9,,13.4,,,,,,
,,Hartigan,,,,107399,07/20/2012 12:00:00 AM,128.1,201.4,160.6,,,,,,
,,Marion Mahony Griffin,,,,101314,08/22/2007 12:00:00 AM,10.9,19.9,14.7,,,,,,
,,Marion Mahony Griffin,,,,88698,08/06/2010 12:00:00 AM,410.6,228.2,306.1,,,,,,
,,Marion Mahony Griffin,,,,87531,06/17/2010 12:00:00 AM,30.0,36.4,33.0,,,,,,
,,Hartigan,,,,90661,06/09/2011 12:00:00 AM,178.5,218.7,197.6,,,,,,
,,Columbia,,,,99644,05/28/2008 12:00:00 AM,57.3,77.1,66.5,,,,,,
,,Columbia,,,,103057,06/26/2007 12:00:00 AM,50.4,65.7,57.5,,,,,,
,,Margaret T Burroughs,,,,90028,06/17/2011 12:00:00 AM,32.3,16.1,22.8,,,,,,
,,Marion Mahony Griffin,,,,97968,07/11/2006 12:00:00 AM,17.3,,4.2,,,,,,
2009,08/20/2016 12:40:00 PM,12th Street,236.0,147.0,186.3,,,,,,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
983,06/26/2016 12:38:00 PM,Rainbow,86.0,5.0,20.7,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
,,Marion Mahony Griffin,,,,103757,06/19/2006 12:00:00 AM,38.4,27.9,32.7,,,,,,
,,Marion Mahony Griffin,,,,99964,06/06/2008 12:00:00 AM,18.9,41.4,28.0,,,,,,
,,Hartigan,,,,112854,06/10/2016 07:40:00 AM,21.0,18.0,19.4,,1,06/10/2016 07:41:00 AM,,,
,,Margaret T Burroughs,,,,108922,05/22/2013 12:00:00 AM,26.0,28.0,27.0,,,,,,
,,Marion Mahony Griffin,,,,93240,08/20/2014 12:00:00 AM,15.0,3.0,6.7,,,,,,
,,Margaret T Burroughs,,,,95246,06/02/2015 12:00:00 AM,23.0,26.0,24.5,,,,,,
,,Margaret T Burroughs,,,,96554,07/15/2011 12:00:00 AM,65.7,53.6,59.3,,,,,,
,,Hartigan,,,,90725,07/12/2010 12:00:00 AM,8.6,6.3,7.4,,,,,,
,,Marion Mahony Griffin,,,,89866,08/23/2010 12:00:00 AM,80.9,63.1,71.4,,,,,,
,,Marion Mahony Griffin,,,,88884,07/07/2010 12:00:00 AM,17.5,2.0,5.9,,,,,,
,,Margaret T Burroughs,,,,94544,08/05/2015 12:00:00 AM,6.0,3.0,4.2,,,,,,
,,Margaret T Burroughs,,,,94921,08/13/2015 12:00:00 AM,31.0,12.0,19.3,,,,,,
,,Marion Mahony Griffin,,,,110743,08/09/2012 12:00:00 AM,27.5,23.6,25.5,,,,,,
,,Columbia,,,,98086,08/15/2006 12:00:00 AM,20.1,29.2,24.2,,,,,,
,,Margaret T Burroughs,,,,103849,08/31/2006 12:00:00 AM,75.9,52.9,63.4,,,,,,
,,Hartigan,,,,96366,08/16/2011 12:00:00 AM,12.2,6.3,8.8,,,,,,
,,Margaret T Burroughs,,,,105793,06/14/2012 12:00:00 AM,96.5,93.3,94.9,,,,,,
,,Margaret T Burroughs,,,,95835,07/29/2015 12:00:00 AM,33.0,23.0,27.5,,,,,,
610,06/05/2016 12:45:00 PM,North Avenue,63.0,114.0,84.7,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
1989,08/20/2016 12:39:00 PM,63rd Street,21.0,41.0,29.3,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,Hartigan,,,,94637,05/20/2015 12:00:00 AM,29.0,20.0,24.1,,,,,,
,,Marion Mahony Griffin,,,,98855,07/26/2007 12:00:00 AM,12.1,6.2,8.7,,,,,,
,,Margaret T Burroughs,,,,88688,08/06/2010 12:00:00 AM,1553.1,2419.6,1938.5,,,,,,
,,Hartigan,,,,102590,06/08/2009 12:00:00 AM,8.4,12.2,10.1,,,,,,
,,Columbia,,,,98945,07/30/2007 12:00:00 AM,24.3,29.2,26.6,,,,,,
