num_samples,greater_1000,greater_235,beach,beach_id,Latitude,Longitude
890,54,205,Calumet,4,41.7142,-87.5299
868,73,225,Montrose,6,41.9655,-87.6385
850,80,239,63rd Street,7,41.7827,-87.5748
846,55,210,Rainbow,13,41.758,-87.551
834,49,169,Margaret T Burroughs,22,41.8393,-87.6072
832,15,104,Ohio Street,9,41.8935,-87.6152
826,30,116,57th Street,14,41.7911,-87.5797
825,31,172,South Shore,0,41.7689,-87.5636
824,26,119,12th Street,2,41.8638,-87.6083
820,21,99,Osterman,8,41.9877,-87.6545
817,25,93,Foster,5,41.9785,-87.6515
809,10,46,Oak Street,12,41.9032,-87.6235
804,14,55,North Avenue,11,41.9148,-87.6273
794,11,46,Hartigan,16,42.0027,-87.6564
793,6,49,Howard,1,42.0188,-87.6663
792,4,44,Rogers,15,42.0213,-87.6666
789,5,52,Juneway,3,42.0224,-87.6674
728,6,51,Marion Mahony Griffin,26,42.0161,-87.6647
603,12,51,Oakwood,23,41.8211,-87.5976
594,9,37,Leone,10,42.0131,-87.6635
440,41,118,Montrose Dog,21,41.96869,-87.642617
287,7,33,Lane,20,41.9877,-87.6545
287,5,21,North Shore,18,42.0027,-87.6564
286,3,32,Columbia,24,42.0027,-87.6564
251,3,22,Loyola,19,42.0131,-87.6635
98,0,5,Fargo,17,42.0161,-87.6647
40,0,1,Humboldt,25,41.90643,-87.703717
